Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-07-16,1512.27,1564.61,1352.46,1468.54,389.93525317,566886.199336,1453.79571282
2017-07-15,1708.36,1710.45,1500.27,1512.79,306.54309044,485302.793792,1583.14706456
2017-07-14,1823.79,1830.18,1655.38,1706.98,290.87142289,506749.965893,1742.17859169
2017-07-13,1866.77,1885.27,1784.47,1822.12,150.27977479,275691.961803,1834.52472023
2017-07-12,1810.99,1888.05,1756.01,1866.75,258.72134471,474354.748507,1833.45811316
2017-07-11,1822.36,1884.29,1757.15,1810.98,308.06967979,563693.618406,1829.76013346
2017-07-10,1960.59,1972.06,1756.01,1829.69,272.48272209,515936.909672,1893.46651309
2017-07-09,1999.91,2015.86,1954.58,1960.23,103.66872111,206243.226054,1989.44506931
2017-07-08,1943.89,1999.95,1917.9,1999.73,112.03785776,220088.277485,1964.4099047
2017-07-07,2028.45,2038.78,1913.69,1952.41,208.17729375,411222.562211,1975.34781437
2017-07-06,2035.48,2040.55,2002.01,2026.11,133.80360317,270266.893023,2019.87754156
2017-07-05,2024.7,2045.97,1968.04,2035.75,130.52227486,261989.60902,2007.24059783
2017-07-04,1978.11,2045.0,1971.37,2019.89,182.43599874,367551.226728,2014.68585842
2017-07-03,1945.55,2001.33,1891.28,1978.11,178.54131248,349894.984759,1959.74242543
2017-07-02,1875.45,1961.6,1838.41,1946.02,160.55040431,305258.826812,1901.3270513
2017-07-01,1899.51,1947.41,1823.12,1873.67,232.93938248,438799.455701,1883.74954475
2017-06-30,1967.44,1982.99,1893.53,1899.51,194.40671172,378057.776155,1944.6745064
2017-06-29,1984.82,2017.32,1939.45,1974.12,147.50280297,292692.808563,1984.32031575
2017-06-28,2031.79,2034.44,1935.06,1984.88,245.09930768,487395.49938,1988.56334599
2017-06-27,1904.45,2027.38,1773.6,2027.38,327.85971378,615278.461768,1876.65161625
2017-06-26,1986.71,2030.72,1789.0,1920.2,329.20904488,627785.333894,1906.95044276
2017-06-25,2039.99,2081.96,1913.0,1986.66,192.89602145,386981.35357,2006.16555314
2017-06-24,2130.75,2152.28,1961.12,2039.99,180.97882172,376627.17166,2081.05660143
2017-06-23,2133.21,2175.0,2095.55,2150.0,157.91734362,337687.617043,2138.38207572
2017-06-22,2109.87,2166.41,2060.96,2131.93,181.8729355,385181.433627,2117.86010144
2017-06-21,2158.89,2190.74,2030.58,2109.87,243.45256384,520627.266873,2138.51626231
2017-06-20,2039.95,2198.86,2027.08,2160.1,243.52200586,514495.075613,2112.725188
2017-06-19,1965.67,2040.24,1948.71,2040.24,203.8023492,408662.027724,2005.18801342
2017-06-18,2073.99,2097.04,1925.94,1976.18,182.06521881,363423.432444,1996.11674772
2017-06-17,1939.41,2105.68,1904.01,2073.98,218.98526501,441546.029374,2016.32757964
2017-06-16,1907.6,1987.22,1808.88,1935.05,387.50961796,746381.644323,1926.09837209
2017-06-15,1933.86,2012.29,1606.3,1910.54,807.33886581,1478952.05824,1831.88512392
2017-06-14,2152.36,2231.31,1838.0,1933.86,533.01513439,1093878.75413,2052.24708185
2017-06-13,2122.75,2216.07,2080.27,2144.88,440.49417646,947974.473089,2152.07038764
2017-06-12,2364.78,2365.57,1927.16,2124.93,653.87783282,1416497.96065,2166.30368787
2017-06-11,2300.01,2364.79,2264.55,2363.59,246.81556963,571461.272181,2315.33720923
2017-06-10,2210.62,2313.35,2190.42,2312.98,307.89325957,694893.190495,2256.92888329
2017-06-09,2173.48,2250.84,2155.29,2210.56,497.37117516,1097658.00896,2206.91922608
2017-06-08,2095.16,2211.79,2029.11,2173.42,518.85152083,1110767.27168,2140.81914977
2017-06-07,2236.76,2246.75,2013.23,2102.6,596.53641894,1300261.19393,2179.68451321
2017-06-06,2102.69,2288.82,2069.69,2237.67,746.71860864,1646259.54023,2204.65851685
2017-06-05,1966.36,2100.98,1962.6,2100.98,313.92332396,639549.026077,2037.27782316
2017-06-04,1986.86,1995.98,1918.3,1964.91,238.72017927,468914.496985,1964.28512419
2017-06-03,1940.0,2026.38,1909.12,1986.86,282.36783393,558154.114565,1976.69156149
2017-06-02,1891.8,1949.66,1858.37,1938.33,253.99956437,481393.424716,1895.25295412
2017-06-01,1808.02,1954.13,1805.7,1890.65,394.62506591,745967.413801,1890.31938983
2017-05-31,1709.42,1878.51,1695.61,1808.24,381.68800786,675564.011847,1769.93774479
2017-05-30,1785.9,1849.99,1653.22,1709.42,573.79194074,1009966.98093,1760.16236761
2017-05-29,1755.49,1860.0,1675.84,1788.98,388.05443359,691951.348145,1783.12960309
2017-05-28,1649.45,1873.88,1643.97,1750.71,512.7178022,903812.714887,1762.78785525
2017-05-27,1776.79,1958.61,1476.85,1676.91,909.46932073,1486660.7687,1634.64641942
2017-05-26,1833.39,2083.77,1587.25,1775.29,709.05241853,1334102.3645,1881.52854378
2017-05-25,1882.83,2184.29,1746.1,1849.77,705.10775613,1415180.62258,2007.04163339
2017-05-24,1760.91,1917.99,1757.91,1859.16,268.01795149,492233.445269,1836.56894075
2017-05-23,1641.22,1763.73,1620.83,1757.74,280.07029874,481312.04749,1718.54012959
2017-05-22,1585.99,1777.6,1535.07,1640.41,327.31913451,550103.963986,1680.63490944
2017-05-21,1587.32,1620.34,1537.91,1585.98,239.50056289,378364.549943,1579.80651643
2017-05-20,1528.13,1587.84,1512.91,1587.84,201.25961843,311015.04593,1545.34252006
2017-05-19,1463.78,1530.11,1452.22,1529.07,284.41143397,426129.374978,1498.28496355
2017-05-18,1404.62,1464.0,1390.16,1463.69,197.15712459,281018.210304,1425.35153568
2017-05-17,1382.66,1436.17,1360.0,1406.0,243.09047896,342808.852792,1410.21093981
2017-05-16,1358.78,1383.44,1316.17,1383.35,230.82156241,313758.208264,1359.310651
2017-05-15,1406.28,2000.0,1321.03,1360.32,316.98511112,433441.102382,1367.38631304
2017-05-14,1397.14,1433.23,1370.33,1404.24,172.05042212,241323.724218,1402.63372356
2017-05-13,1324.46,1400.97,1257.62,1397.5,244.52001792,328886.743273,1345.02993281
2017-05-12,1424.93,1445.0,1280.0,1323.48,325.85936972,444294.1725,1363.45372816
2017-05-11,1394.4,1468.09,1370.8,1424.93,229.23196026,328705.459802,1433.942542
2017-05-10,1334.63,1395.33,1315.02,1393.68,194.13316815,265432.843571,1367.27199221
2017-05-09,1329.8,1393.67,1294.35,1334.63,329.43267782,444174.099978,1348.30006215
